src_subject_id,rsfmri_c_ngd_ad_ngd_ad,rsfmri_c_ngd_cgc_ngd_ad,rsfmri_c_ngd_cgc_ngd_cgc,rsfmri_c_ngd_ca_ngd_ad,rsfmri_c_ngd_ca_ngd_cgc,rsfmri_c_ngd_ca_ngd_ca,rsfmri_c_ngd_dt_ngd_ad,rsfmri_c_ngd_dt_ngd_cgc,rsfmri_c_ngd_dt_ngd_ca,rsfmri_c_ngd_dt_ngd_dt,rsfmri_c_ngd_dla_ngd_ad,rsfmri_c_ngd_dla_ngd_cgc,rsfmri_c_ngd_dla_ngd_ca,rsfmri_c_ngd_dla_ngd_dt,rsfmri_c_ngd_dla_ngd_dla,rsfmri_c_ngd_fo_ngd_ad,rsfmri_c_ngd_fo_ngd_cgc,rsfmri_c_ngd_fo_ngd_ca,rsfmri_c_ngd_fo_ngd_dt,rsfmri_c_ngd_fo_ngd_dla,rsfmri_c_ngd_fo_ngd_fo,rsfmri_c_ngd_n_ngd_ad,rsfmri_c_ngd_n_ngd_cgc,rsfmri_c_ngd_n_ngd_ca,rsfmri_c_ngd_n_ngd_dt,rsfmri_c_ngd_n_ngd_dla,rsfmri_c_ngd_n_ngd_fo,rsfmri_c_ngd_n_ngd_n,rsfmri_c_ngd_rspltp_ngd_ad,rsfmri_c_ngd_rspltp_ngd_cgc,rsfmri_c_ngd_rspltp_ngd_ca,rsfmri_c_ngd_rspltp_ngd_dt,rsfmri_c_ngd_rspltp_ngd_dla,rsfmri_c_ngd_rspltp_ngd_fo,rsfmri_c_ngd_rspltp_ngd_n,rsfmri_c_ngd_rspltp_ngd_rspltp,rsfmri_c_ngd_sa_ngd_ad,rsfmri_c_ngd_sa_ngd_cgc,rsfmri_c_ngd_sa_ngd_ca,rsfmri_c_ngd_sa_ngd_dt,rsfmri_c_ngd_sa_ngd_dla,rsfmri_c_ngd_sa_ngd_fo,rsfmri_c_ngd_sa_ngd_n,rsfmri_c_ngd_sa_ngd_rspltp,rsfmri_c_ngd_sa_ngd_sa,rsfmri_c_ngd_smh_ngd_ad,rsfmri_c_ngd_smh_ngd_cgc,rsfmri_c_ngd_smh_ngd_ca,rsfmri_c_ngd_smh_ngd_dt,rsfmri_c_ngd_smh_ngd_dla,rsfmri_c_ngd_smh_ngd_fo,rsfmri_c_ngd_smh_ngd_n,rsfmri_c_ngd_smh_ngd_rspltp,rsfmri_c_ngd_smh_ngd_sa,rsfmri_c_ngd_smh_ngd_smh,rsfmri_c_ngd_smm_ngd_ad,rsfmri_c_ngd_smm_ngd_cgc,rsfmri_c_ngd_smm_ngd_ca,rsfmri_c_ngd_smm_ngd_dt,rsfmri_c_ngd_smm_ngd_dla,rsfmri_c_ngd_smm_ngd_fo,rsfmri_c_ngd_smm_ngd_n,rsfmri_c_ngd_smm_ngd_rspltp,rsfmri_c_ngd_smm_ngd_sa,rsfmri_c_ngd_smm_ngd_smh,rsfmri_c_ngd_smm_ngd_smm,rsfmri_c_ngd_vta_ngd_ad,rsfmri_c_ngd_vta_ngd_cgc,rsfmri_c_ngd_vta_ngd_ca,rsfmri_c_ngd_vta_ngd_dt,rsfmri_c_ngd_vta_ngd_dla,rsfmri_c_ngd_vta_ngd_fo,rsfmri_c_ngd_vta_ngd_n,rsfmri_c_ngd_vta_ngd_rspltp,rsfmri_c_ngd_vta_ngd_sa,rsfmri_c_ngd_vta_ngd_smh,rsfmri_c_ngd_vta_ngd_smm,rsfmri_c_ngd_vta_ngd_vta,rsfmri_c_ngd_vs_ngd_ad,rsfmri_c_ngd_vs_ngd_cgc,rsfmri_c_ngd_vs_ngd_ca,rsfmri_c_ngd_vs_ngd_dt,rsfmri_c_ngd_vs_ngd_dla,rsfmri_c_ngd_vs_ngd_fo,rsfmri_c_ngd_vs_ngd_n,rsfmri_c_ngd_vs_ngd_rspltp,rsfmri_c_ngd_vs_ngd_sa,rsfmri_c_ngd_vs_ngd_smh,rsfmri_c_ngd_vs_ngd_smm,rsfmri_c_ngd_vs_ngd_vta,rsfmri_c_ngd_vs_ngd_vs
NDAR_INV00CY2MDM,0.49186332,0.23167598,0.38977657,-0.133458,-0.06214142,1.03685734,-0.17545899,-0.29370235,0.00699824,0.37327396,-0.01722179,0.14241642,-0.00292002,-0.18493019,0.22569931,-0.18922846,-0.10168646,0.17708797,0.07034667,0.06153027,0.24969144,-0.06041356,-0.08990865,0.03509262,0.09653159,-0.0632812,0.02630082,0.07956745,-0.05636279,-0.111109,0.26696102,0.12932333,-0.04645833,0.03153734,0.07952537,0.68621789,-0.10491458,0.03613548,0.18158975,0.09629441,-0.0485669,0.10863407,0.05512492,0.00479265,0.46949802,0.27302745,0.12393432,-0.31684336,-0.16264699,0.02952762,-0.18473156,-0.08157526,-0.13698482,-0.30757624,0.51257553,0.51587384,0.26809938,-0.26080393,-0.21849329,0.00202032,-0.23359641,-0.10085944,-0.16195281,-0.25319885,0.40275734,0.95597524,0.01575045,0.00776915,-0.0045143,0.08262359,-0.07173167,0.0078793,-0.00927504,-0.08897474,0.16717791,-0.07466704,-0.02795145,0.29660345,0.15378113,0.24587293,0.03063412,-0.27175815,0.1067767,-0.16193969,-0.07450314,0.04754557,-0.04198564,0.09296377,0.15994755,-0.06214148,0.49682622
NDAR_INV00HEV6HB,0.21162065,0.11597288,0.27902396,0.11940732,0.04812437,0.78706319,-0.00613932,-0.09023369,0.05348572,0.19187534,-0.02008113,0.17378918,0.00418047,-0.15037138,0.37133876,-0.02070256,-0.05615795,0.06167803,0.00737046,0.07886959,0.29327605,-0.00347236,-0.03901495,0.00731414,0.02969024,-0.02962167,0.02858786,0.05195298,-0.0659152,-0.07110259,0.00723062,0.02939929,-0.09011662,-0.02115581,-0.02823779,0.28744267,0.0603605,0.15922146,0.17009607,-0.00407166,0.01228764,0.01377958,0.00362951,0.00099483,0.26441243,0.14392189,0.09786788,0.08472649,-0.02738889,0.04562329,-0.03644916,0.00350349,-0.07005391,0.00331973,0.32332794,0.19259958,0.03751644,0.05244778,0.01490639,-0.0554783,0.02556842,-0.00183244,-0.05250657,-0.04857973,0.15489276,0.47688161,0.05076497,-0.02138995,-0.06168608,0.07091883,-0.08511033,0.00042613,0.04623295,-0.09521183,-0.00517413,-0.00304964,0.0965559,0.17958724,-0.0924764,-0.02835707,-0.08521272,-0.09764514,-0.02496219,-0.10457814,-0.05378287,0.14546427,-0.05940593,-0.07468723,-0.03382352,-0.08685694,0.36081786
NDAR_INV01NAYMZH,0.36531427,0.15535118,0.30997347,-0.16599917,0.0177259,1.07296381,-0.07060644,-0.17181263,0.02610856,0.25981419,-0.01343496,0.09640129,-0.03662222,-0.14293295,0.23640665,-0.07405661,0.00761091,0.21549575,0.01638485,0.03274471,0.18970053,0.00413221,-0.02602813,-0.06713321,0.03104974,-0.01192688,-0.03150086,0.06061557,-0.03235708,-0.10892786,-0.16952914,0.10464687,-0.03446438,-0.13130056,0.06860694,0.60272872,-0.03299495,0.09336155,0.30133017,0.05824858,-0.08292962,0.12392105,-0.07204919,-0.13758108,0.46056138,0.19793448,0.01037106,-0.26209651,0.01688401,0.02662242,-0.09022602,0.0496061,0.07690539,-0.15862958,0.44949374,0.3068201,0.09826202,-0.27313922,-0.07692477,0.00566401,-0.12949555,0.00295435,0.0106504,-0.16106332,0.29876226,0.66165062,0.04594241,-0.01207134,-0.02362336,0.0528548,-0.04040894,0.02036288,0.00198051,-0.05693481,0.02355962,0.03042153,0.03628725,0.1376369,-0.06848407,-0.00280357,-0.0450197,-0.16868666,0.03878596,-0.09874437,-0.0361858,0.04020585,-0.08457168,-0.15502749,-0.03993563,-0.06307326,0.46020498
NDAR_INV01RGTWD2,0.18689464,0.05771647,0.36616738,-0.10178751,-0.01109343,0.77369866,-0.00657387,-0.2024315,0.01744078,0.28384673,-0.08768088,0.13313502,0.06457845,-0.20597729,0.35723778,-0.02968808,-0.03204252,0.04466238,0.05671031,0.07008532,0.19501843,0.01922468,-0.02383592,0.00827888,0.04833715,-0.04339974,0.00327399,0.02765038,-0.05963842,-0.14163232,0.17851483,0.06065117,0.04838459,-0.11535076,0.00143362,0.61182672,0.02900159,0.04454706,0.04792178,0.11215916,-0.18580127,-0.02381724,0.03879502,-0.04006273,0.33969592,0.08792538,0.05946578,-0.04406499,-0.05037886,0.01210519,-0.06006988,0.00937921,-0.04054528,-0.02907971,0.1723605,0.16557757,0.01717736,-0.16474776,-0.04063046,-0.08181072,-0.08481481,0.0056652,-2.651e-05,-0.0361314,0.07912537,0.42659717,0.02184407,-0.06700234,-0.09212294,0.11206576,-0.12627557,0.01938743,0.03856906,-0.12678386,0.08561769,0.00339911,-0.03646095,0.17050007,-0.02158868,0.00627466,-0.05550576,-0.12404681,0.03743002,-0.14878382,-0.04092942,0.17756007,-0.06539838,-0.02818847,0.09754138,-0.08956115,0.31987643
NDAR_INV021403LF,0.28012648,0.16164096,0.37174602,-0.0097865,0.08387264,0.8394211,0.00380724,-0.11280769,-0.09805695,0.28388118,-0.09965001,0.03832493,0.06059865,-0.10591394,0.27647498,0.01371018,0.04952413,-0.07667696,0.0445574,0.07504692,0.23729278,0.0078696,-0.07052783,-0.11949197,0.10501438,-0.05522879,-0.01015118,0.07069542,-0.10495705,-0.18842217,0.25137633,-0.03148036,0.07421466,-0.11067298,-0.00767362,0.52610557,0.10320906,0.24459821,0.09899647,0.03912375,-0.0173926,0.23268741,-0.04318763,-0.15407757,0.57043883,0.06299339,0.12886051,-0.07353735,-0.06645596,0.04230702,-0.01679235,-0.01714714,-0.13141569,0.01908876,0.22759288,0.21375202,0.12490107,0.06009266,-0.03534649,-0.05137471,-0.03027547,-0.00191164,-0.10856579,0.00356172,0.01198375,0.54844408,0.06824667,0.03131472,-0.22314061,0.14111868,-0.12719382,0.05966577,0.07573097,-0.15705835,0.08867472,-0.04104983,0.06549823,0.33069698,-0.11932293,-0.08208034,0.27834278,-0.178037,0.08094692,-0.12871817,-0.07959663,0.30491401,-0.13706399,-0.09510597,-0.01103822,-0.1773771,0.47434821
NDAR_INV028D3ELL,0.23727103,0.05070432,0.34816272,-0.09767351,-0.07954738,0.83074987,-0.06631743,-0.21510348,0.07414084,0.32578963,-0.02017346,0.1952911,-0.15819603,-0.14753348,0.32566923,-0.08036736,0.0447579,0.05316877,0.04371698,0.11292524,0.24819988,-0.01783768,-0.06040796,0.0153977,0.05404651,-0.03665556,0.01696682,0.02964799,-0.06473891,-0.22734102,0.02645788,0.19986698,-0.1377017,-0.06720132,0.0449465,0.46631675,-0.09282962,0.03771328,0.0731575,0.13628075,0.01362101,0.20979222,0.02925276,-0.00235217,0.44971047,0.18600529,-0.02687925,-0.10301643,-0.07169879,-0.04113909,-0.13284014,-0.0178111,-0.03106122,-0.16223053,0.34069087,0.2189442,0.02348882,-0.11735129,-0.13892334,-0.01836055,-0.09926154,-0.02583591,-0.08996709,-0.1932395,0.21959652,0.57078077,0.01806659,-0.04576033,-0.12772188,0.0951179,-0.01211415,0.00998262,0.03024041,0.00302849,0.01172487,-0.01578418,0.02842799,0.15607418,0.05912725,0.02856477,-0.03994954,-0.24305684,-0.02657256,-0.18969612,-0.04260545,-0.06836877,-0.28129323,0.07483416,0.18762748,-0.03764139,0.55592537
NDAR_INV02EBX0JJ,0.36349419,0.22988556,0.50938166,-0.05447909,-0.02217519,1.11907872,-0.05230587,-0.26673345,-0.00482506,0.33403998,-0.07093477,0.15461672,0.03946864,-0.21886567,0.30175143,-0.02810836,-0.00093162,0.06723325,0.00026999,0.04404201,0.20032612,0.02530023,-0.0529124,-0.02606482,0.07842535,-0.06309592,0.00210562,0.04720784,-0.04625058,-0.33719228,0.20800808,0.22242193,-0.15219744,-0.18728382,0.07616074,0.90384276,0.07664849,0.28450862,0.26872913,-0.04945021,0.04124762,0.10816809,0.00441534,-0.19318477,0.55345644,0.09324957,0.13502707,-0.2112956,-0.03717174,0.01155312,-0.10921212,-0.00220809,-0.06856974,-0.0247813,0.29364947,0.22811514,0.12779805,-0.11514032,0.01203586,-0.11103317,-0.05962282,0.02186934,-0.01279675,0.01731,0.05102863,0.70333766,0.11063607,0.00660129,-0.0607482,0.10487666,-0.10474639,0.01613012,0.03131613,-0.034409,-0.04148335,-0.00213231,0.05963572,0.25319718,-0.12199462,-0.05857255,0.10092458,-0.1409507,0.06233002,-0.13847881,-0.05493502,0.18930112,-0.09359074,-0.06471907,-0.07591754,-0.15251073,0.47526413
NDAR_INV02H7G2T6,0.38315883,0.27858246,0.44389825,-0.09349947,0.01647306,0.81403118,-0.10129344,-0.21688115,-0.01189209,0.35324106,-0.04115058,0.09632349,0.01726953,-0.16146594,0.30159356,-0.09313568,-0.07598864,-0.05561828,0.06489164,0.08861957,0.26370803,0.0045149,-0.04761931,-0.02254152,0.1128032,-0.07306414,0.01104915,0.05169566,-0.22725454,-0.25330608,0.21801984,0.11131166,0.04897394,-0.08623033,-9.831e-05,0.7243371,-0.011142,0.00676669,-0.01701357,0.20209482,-0.0867766,0.09118492,0.08777808,-0.1341604,0.37139052,0.14077097,0.11882143,-0.16943314,-0.02274448,-0.02359655,-0.04773568,0.01198765,-0.12243006,-0.0385721,0.21641694,0.29418474,0.21415105,0.01142303,-0.19109731,-0.01592022,-0.17701083,-0.04498571,-0.11675995,-0.16069155,0.06488489,0.66994795,0.18992228,0.11750682,-0.12499571,-0.00702607,-0.02352905,0.02247522,0.03014561,-0.26058712,0.08314931,0.03577565,0.12589512,0.23771291,-0.11350902,-0.05631465,0.17663408,-0.21288032,0.07473014,-0.10170778,-0.09940028,0.21329864,-0.17423882,-0.14733934,0.0986196,-0.11199558,0.56149486
NDAR_INV02WP3TP6,0.29991478,0.22942999,0.40132485,-0.06878159,-0.12357275,1.02619775,-0.13443975,-0.23398317,0.04934002,0.40760445,-0.04471556,0.14324531,-0.0646143,-0.22818664,0.37453059,-0.06542252,-0.02946972,0.07257945,0.02348038,0.09839511,0.18556117,-0.00652958,-0.05170676,-0.04507943,0.0840733,-0.07055697,-0.00854269,0.05124625,-0.2054651,-0.27364255,0.36636915,0.06999955,0.01911405,-0.06155599,-0.00529619,0.81477217,0.03082808,0.18503638,0.13739451,0.0470068,0.03847666,0.14138147,-0.04631767,-0.13893302,0.64114469,0.15382828,0.22000693,-0.08629606,-0.12557296,0.05861187,-0.08768261,-0.0379741,-0.13196582,-0.0116163,0.34144884,0.19210482,0.14412509,-0.08742651,-0.14936404,-0.02573605,-0.10716378,-0.02357732,-0.16235551,-0.08694622,0.13014092,0.51726113,0.04007125,-0.04913516,-0.16431323,0.16310931,-0.1417806,-0.00658706,0.09269365,-0.14410851,0.02141861,-0.12404379,0.01644895,0.34635747,-0.01709542,-0.0405788,0.10393093,-0.2191288,0.08778808,-0.04569413,-0.06638668,0.2289268,-0.08612161,-0.08380852,0.06966794,-0.12618401,0.45004684
NDAR_INV030W95VP,0.42426632,0.32073672,0.36045179,0.12550986,0.13072357,0.95758716,-0.11728614,-0.15955033,-0.06273318,0.20387505,0.0675469,0.11698779,0.00575972,-0.10762351,0.23053406,-0.11213186,-0.11006239,0.07444823,0.07833867,0.01906697,0.34806856,0.00679178,-0.02178379,0.02186338,0.03253372,-0.04625062,0.00497499,0.04880865,0.02803009,0.0667182,0.27954055,-0.00368702,0.08179552,0.02152376,0.05222597,0.61073289,0.12841736,0.19857628,0.13351784,-0.02726463,-0.00095069,0.03537914,0.00817557,0.07529758,0.33528396,0.13400434,0.09741181,-0.00951796,-0.0347509,0.01736952,-0.12678492,0.00063417,-0.04343649,-0.08807314,0.23125355,0.22975592,0.20160602,0.01496884,-0.11627855,0.06186597,-0.12767173,-0.04468208,-0.07769127,0.08376376,0.08208684,0.41966833,-0.05596926,-0.04652724,-0.16219411,0.05637333,-0.02513892,-0.03069785,-0.0306028,-0.18835003,0.02981351,-0.04312383,0.06808173,0.20702118,0.08425948,0.13862272,0.08193407,-0.17813079,0.05593562,-0.15127234,-0.04674538,0.02461509,0.04360335,-0.00377307,0.13132634,-0.03368013,0.37798481
